Order ID,Order Date,Customer Name,Region,State,City,Category,Sub-Category,Sales,Quantity,Profit
CA-2016-100029,04-02-2018,Customer_212,East,California,Miami,Office Supplies,Binders,868.91,8,148.31
CA-2017-100030,28-03-2017,Customer_46,East,Texas,Miami,Furniture,Chairs,707.51,10,47.3
CA-2018-100031,18-02-2018,Customer_93,West,Texas,Houston,Furniture,Tables,921.84,8,-90.54
CA-2015-100032,23-10-2016,Customer_273,East,Florida,Miami,Office Supplies,Paper,107.38,8,213.63
CA-2016-100033,30-05-2015,Customer_470,West,Texas,Miami,Office Supplies,Binders,479.23,1,167.68
CA-2017-100034,14-11-2018,Customer_310,West,New York,Chicago,Technology,Phones,348.78,2,79.37
CA-2018-100035,10-02-2017,Customer_417,Central,Illinois,New York City,Office Supplies,Storage,296.65,9,144.92
CA-2015-100036,22-10-2015,Customer_408,West,Texas,Chicago,Furniture,Chairs,326.56,10,-84.92
CA-2016-100037,24-03-2017,Customer_213,West,Florida,Miami,Office Supplies,Storage,454.28,4,37.73
CA-2017-100038,01-04-2015,Customer_263,Central,Texas,Houston,Furniture,Chairs,70.65,4,173.43
CA-2018-100039,03-04-2017,Customer_130,Central,Texas,New York City,Furniture,Chairs,254.3,7,177.61
CA-2015-100040,29-08-2015,Customer_151,Central,Texas,Houston,Technology,Phones,474.38,2,29.29
CA-2016-100041,19-03-2018,Customer_420,West,Florida,Chicago,Furniture,Tables,509.44,9,97.05
CA-2017-100042,27-09-2018,Customer_181,South,New York,New York City,Furniture,Tables,128.88,3,85.34
CA-2018-100043,20-01-2015,Customer_386,West,New York,Los Angeles,Furniture,Bookcases,173.96,8,-93.51
CA-2015-100044,10-02-2016,Customer_85,South,Florida,Chicago,Technology,Accessories,319.21,9,202.2
CA-2016-100045,27-11-2018,Customer_317,East,Florida,New York City,Office Supplies,Paper,419.21,7,-63.72
CA-2017-100046,21-11-2015,Customer_257,West,Florida,New York City,Office Supplies,Storage,360.13,5,291.47
CA-2018-100047,30-04-2018,Customer_366,Central,Florida,Houston,Office Supplies,Binders,950.48,3,27.42
CA-2015-100048,06-12-2018,Customer_360,West,Florida,New York City,Technology,Phones,455.43,7,16.42
CA-2016-100049,04-02-2015,Customer_146,South,Illinois,Miami,Furniture,Tables,626.52,8,-42.54
CA-2017-100050,13-04-2016,Customer_495,East,Texas,Chicago,Technology,Phones,176.82,6,51.46
CA-2018-100051,18-06-2017,Customer_157,West,Illinois,Houston,Technology,Accessories,369.05,8,10.42
CA-2015-100052,05-09-2015,Customer_226,South,Illinois,New York City,Technology,Phones,240.55,7,122.03
CA-2016-100053,02-05-2018,Customer_104,East,California,Miami,Technology,Phones,430.19,9,269.15
CA-2017-100054,03-11-2018,Customer_338,South,California,Chicago,Office Supplies,Binders,880.99,1,227.84
CA-2018-100055,21-11-2015,Customer_179,East,Illinois,Houston,Office Supplies,Paper,218.13,6,-58.75
CA-2015-100056,07-11-2016,Customer_366,South,Florida,Los Angeles,Furniture,Tables,12.34,9,182.35
CA-2016-100057,14-10-2018,Customer_134,South,Texas,Miami,Office Supplies,Paper,213.11,4,250.63
CA-2017-100058,14-11-2018,Customer_41,East,Florida,Houston,Technology,Phones,256.75,4,-4.41
CA-2018-100059,27-07-2017,Customer_130,South,Florida,Miami,Office Supplies,Paper,960.94,3,5.85
CA-2015-100060,12-02-2017,Customer_434,Central,Illinois,New York City,Furniture,Tables,916.56,2,-85.82
CA-2016-100061,12-09-2015,Customer_252,East,California,Los Angeles,Office Supplies,Paper,891.0,1,18.9
CA-2017-100062,12-04-2018,Customer_242,Central,Texas,Houston,Technology,Accessories,418.26,5,-21.03
CA-2018-100063,21-11-2015,Customer_97,West,California,Los Angeles,Technology,Phones,271.46,7,-57.74
CA-2015-100064,19-12-2017,Customer_41,West,New York,Los Angeles,Furniture,Chairs,440.06,10,63.56
CA-2016-100065,29-09-2018,Customer_298,South,Illinois,New York City,Office Supplies,Paper,774.87,2,-8.63
CA-2017-100066,08-07-2018,Customer_475,West,Florida,Miami,Office Supplies,Storage,647.33,8,-96.39
CA-2018-100067,16-03-2016,Customer_322,South,New York,Miami,Furniture,Tables,100.7,2,-93.54
CA-2015-100068,30-05-2018,Customer_51,West,New York,Chicago,Office Supplies,Storage,253.5,2,283.86
CA-2016-100069,23-09-2015,Customer_59,West,Texas,Chicago,Furniture,Tables,261.81,7,103.7
CA-2017-100070,26-06-2015,Customer_192,Central,Florida,Los Angeles,Technology,Phones,764.56,8,29.51
CA-2018-100071,06-02-2015,Customer_171,West,Florida,Houston,Furniture,Tables,264.66,5,92.15
CA-2015-100072,21-01-2017,Customer_89,East,Illinois,Houston,Office Supplies,Paper,854.08,2,152.59
CA-2016-100073,20-11-2017,Customer_410,South,Illinois,Los Angeles,Furniture,Bookcases,456.92,3,1.43
CA-2017-100074,16-03-2017,Customer_254,South,New York,Los Angeles,Office Supplies,Paper,253.93,1,258.64
CA-2018-100075,19-03-2016,Customer_118,East,Florida,Los Angeles,Office Supplies,Storage,619.04,8,39.4
CA-2015-100076,13-01-2016,Customer_4,South,Florida,Los Angeles,Furniture,Chairs,285.8,7,152.98
CA-2016-100077,15-04-2015,Customer_405,East,New York,Houston,Technology,Phones,656.77,10,183.26
CA-2017-100078,09-01-2019,Customer_233,West,Illinois,Miami,Office Supplies,Paper,675.91,7,-30.11
CA-2018-100079,06-06-2017,Customer_182,West,Florida,Los Angeles,Furniture,Bookcases,66.23,1,276.08
CA-2015-100080,15-02-2015,Customer_474,Central,California,Chicago,Office Supplies,Paper,489.59,8,67.25
CA-2016-100081,19-11-2017,Customer_130,Central,Florida,Los Angeles,Furniture,Bookcases,409.53,2,85.52
CA-2017-100082,03-04-2016,Customer_138,East,California,Los Angeles,Office Supplies,Storage,27.3,5,131.92
CA-2018-100083,16-11-2015,Customer_465,South,New York,New York City,Furniture,Tables,859.08,1,222.43
CA-2015-100084,04-10-2018,Customer_135,West,New York,Los Angeles,Office Supplies,Storage,776.97,5,80.84
CA-2016-100085,04-11-2017,Customer_391,West,Florida,Miami,Technology,Accessories,299.38,1,105.58
CA-2017-100086,28-01-2018,Customer_353,South,Illinois,Los Angeles,Technology,Accessories,261.39,6,294.72
CA-2018-100087,06-01-2016,Customer_106,Central,California,Los Angeles,Furniture,Tables,746.33,6,82.98
CA-2015-100088,15-03-2018,Customer_237,Central,Illinois,New York City,Technology,Copiers,532.24,4,104.26
CA-2016-100089,12-05-2015,Customer_474,East,Florida,New York City,Office Supplies,Binders,79.34,3,99.08
CA-2017-100090,21-02-2018,Customer_347,East,Texas,Miami,Technology,Accessories,399.58,9,-59.19
CA-2018-100091,12-10-2015,Customer_158,Central,Texas,New York City,Furniture,Bookcases,478.96,4,-0.55
CA-2015-100092,25-03-2018,Customer_188,Central,New York,Houston,Furniture,Chairs,638.58,7,164.67
CA-2016-100093,27-01-2016,Customer_154,West,Illinois,Chicago,Technology,Accessories,478.35,3,275.25
CA-2017-100094,03-08-2015,Customer_78,South,New York,New York City,Furniture,Chairs,803.09,7,220.19
CA-2018-100095,20-04-2016,Customer_293,East,New York,New York City,Office Supplies,Storage,825.08,9,107.45
CA-2015-100096,24-01-2015,Customer_49,South,Florida,Houston,Technology,Copiers,357.63,3,131.44
CA-2016-100097,20-05-2017,Customer_71,Central,Florida,Los Angeles,Technology,Phones,712.06,7,82.48
CA-2017-100098,07-07-2017,Customer_24,Central,Florida,New York City,Furniture,Bookcases,558.41,9,287.53
CA-2018-100099,15-02-2015,Customer_119,Central,New York,Chicago,Office Supplies,Paper,244.21,3,166.33
CA-2015-100100,27-02-2017,Customer_194,West,California,Chicago,Office Supplies,Storage,972.52,2,71.71
CA-2016-100101,03-10-2017,Customer_265,Central,Florida,Los Angeles,Office Supplies,Paper,59.39,7,-15.78
CA-2017-100102,30-01-2017,Customer_226,South,Texas,Chicago,Office Supplies,Binders,265.77,7,171.85
CA-2018-100103,24-10-2018,Customer_424,Central,New York,Miami,Office Supplies,Storage,88.62,9,-2.49
CA-2015-100104,12-08-2016,Customer_327,South,Texas,Los Angeles,Technology,Accessories,783.05,2,192.12
CA-2016-100105,27-06-2017,Customer_95,Central,Texas,Chicago,Office Supplies,Storage,238.63,7,106.65
CA-2017-100106,08-12-2017,Customer_74,Central,New York,Los Angeles,Furniture,Bookcases,146.06,9,62.34
CA-2018-100107,02-08-2017,Customer_165,Central,Florida,Miami,Furniture,Tables,822.78,8,263.96
CA-2015-100108,11-11-2018,Customer_476,West,Texas,New York City,Office Supplies,Binders,377.59,8,191.1
CA-2016-100109,24-12-2015,Customer_235,West,California,Chicago,Furniture,Bookcases,122.29,4,230.99
CA-2017-100110,09-12-2015,Customer_475,West,Illinois,New York City,Technology,Phones,775.42,8,131.29
CA-2018-100111,21-06-2015,Customer_420,West,Texas,Chicago,Furniture,Tables,265.44,1,88.56
CA-2015-100112,12-02-2015,Customer_438,Central,Texas,Houston,Technology,Copiers,586.22,8,190.78
CA-2016-100113,27-03-2015,Customer_369,East,Texas,Chicago,Office Supplies,Storage,901.06,6,180.09
CA-2017-100114,07-03-2017,Customer_282,South,Florida,Houston,Furniture,Chairs,119.8,6,178.22
CA-2018-100115,15-03-2015,Customer_189,West,Florida,Chicago,Office Supplies,Paper,278.25,2,-15.07
CA-2015-100116,13-04-2018,Customer_72,East,Illinois,Houston,Furniture,Tables,305.87,4,299.74
CA-2016-100117,15-01-2015,Customer_500,West,California,Chicago,Technology,Accessories,330.77,3,73.64
CA-2017-100118,15-01-2016,Customer_454,West,Florida,Los Angeles,Furniture,Bookcases,897.26,1,240.75
CA-2018-100119,08-06-2015,Customer_84,South,California,New York City,Technology,Accessories,186.61,8,7.64
CA-2015-100120,13-03-2016,Customer_203,East,Texas,New York City,Technology,Accessories,35.72,10,192.9
CA-2016-100121,31-10-2016,Customer_374,South,California,Los Angeles,Office Supplies,Paper,831.52,4,75.03
CA-2017-100122,18-11-2017,Customer_248,Central,New York,Houston,Technology,Accessories,782.74,1,51.36
CA-2018-100123,31-01-2019,Customer_227,Central,California,Chicago,Furniture,Bookcases,51.5,2,28.67
CA-2015-100124,10-03-2016,Customer_11,South,California,Los Angeles,Technology,Copiers,934.5,5,235.9
CA-2016-100125,28-05-2017,Customer_496,South,New York,Miami,Technology,Copiers,826.42,5,215.24
CA-2017-100126,21-04-2018,Customer_417,East,Florida,Los Angeles,Technology,Copiers,469.22,2,193.02
CA-2018-100127,01-05-2016,Customer_254,West,California,Chicago,Office Supplies,Paper,162.76,6,246.14
CA-2015-100128,24-12-2015,Customer_157,East,Florida,New York City,Technology,Phones,354.23,5,1.85
CA-2016-100129,25-07-2018,Customer_210,South,Texas,New York City,Office Supplies,Paper,206.27,10,202.76
CA-2017-100130,17-09-2016,Customer_409,West,California,Los Angeles,Furniture,Tables,840.21,2,110.36
CA-2018-100131,04-12-2015,Customer_51,South,Illinois,Miami,Office Supplies,Storage,338.27,10,-10.2
CA-2015-100132,05-02-2016,Customer_146,South,New York,New York City,Office Supplies,Paper,200.91,6,168.3
CA-2016-100133,30-10-2015,Customer_99,South,Texas,Los Angeles,Furniture,Bookcases,498.36,10,162.44
CA-2017-100134,19-11-2018,Customer_249,South,Texas,Los Angeles,Office Supplies,Storage,748.14,6,6.45
CA-2018-100135,31-01-2015,Customer_161,West,California,Los Angeles,Office Supplies,Storage,512.35,1,6.53
CA-2015-100136,12-04-2016,Customer_183,East,California,New York City,Office Supplies,Paper,142.87,2,-26.07
CA-2016-100137,01-05-2016,Customer_313,South,New York,New York City,Technology,Phones,532.31,2,58.64
CA-2017-100138,20-05-2015,Customer_345,South,California,Los Angeles,Technology,Copiers,721.36,2,-49.52
CA-2018-100139,14-07-2015,Customer_472,Central,Texas,New York City,Office Supplies,Binders,180.38,6,284.32
CA-2015-100140,15-09-2017,Customer_299,West,Texas,Miami,Office Supplies,Paper,968.24,6,36.03
CA-2016-100141,28-11-2017,Customer_197,East,New York,Houston,Office Supplies,Paper,78.36,6,-63.72
CA-2017-100142,22-10-2016,Customer_439,East,Florida,Houston,Technology,Phones,826.39,10,244.97
CA-2018-100143,05-07-2018,Customer_431,East,Illinois,New York City,Technology,Copiers,247.75,6,70.31
CA-2015-100144,04-09-2018,Customer_303,South,Texas,New York City,Technology,Accessories,230.66,4,191.82
CA-2016-100145,29-10-2017,Customer_78,West,California,Miami,Furniture,Bookcases,631.11,8,-53.02
CA-2017-100146,02-04-2016,Customer_338,South,Illinois,Chicago,Furniture,Chairs,68.18,5,294.83
CA-2018-100147,28-03-2015,Customer_328,East,Texas,Chicago,Furniture,Bookcases,206.71,2,-91.77
CA-2015-100148,28-12-2015,Customer_418,West,Florida,Houston,Furniture,Chairs,508.29,8,36.59
CA-2016-100149,19-08-2016,Customer_62,East,Illinois,Chicago,Furniture,Tables,690.3,4,-44.67
CA-2017-100150,01-12-2018,Customer_182,Central,Florida,Houston,Furniture,Chairs,253.17,6,68.81
CA-2018-100151,05-03-2018,Customer_216,Central,California,Los Angeles,Technology,Phones,372.94,2,54.23
CA-2015-100152,09-05-2015,Customer_444,West,Illinois,Chicago,Office Supplies,Binders,238.35,6,-38.8
CA-2016-100153,30-01-2017,Customer_105,South,Texas,Chicago,Furniture,Chairs,195.84,1,272.56
CA-2017-100154,03-04-2015,Customer_414,South,Florida,Houston,Furniture,Tables,541.59,9,-83.51
CA-2018-100155,23-08-2018,Customer_77,Central,Illinois,Houston,Technology,Phones,71.76,3,-56.81
CA-2015-100156,08-10-2015,Customer_169,East,California,Los Angeles,Office Supplies,Paper,339.06,2,188.29
CA-2016-100157,20-08-2018,Customer_3,South,New York,Miami,Technology,Accessories,470.0,1,-80.61
CA-2017-100158,30-10-2018,Customer_200,East,New York,Chicago,Office Supplies,Paper,850.08,6,111.02
CA-2018-100159,22-01-2019,Customer_57,Central,Florida,New York City,Technology,Phones,525.87,7,261.4
CA-2015-100160,11-05-2018,Customer_10,Central,New York,New York City,Furniture,Bookcases,678.42,2,116.47
CA-2016-100161,16-05-2017,Customer_189,Central,Florida,Miami,Furniture,Chairs,376.76,1,-5.19
CA-2017-100162,04-11-2017,Customer_482,West,California,Chicago,Technology,Copiers,87.63,4,129.73
CA-2018-100163,17-06-2017,Customer_102,South,Illinois,New York City,Technology,Copiers,794.58,1,-86.82
CA-2015-100164,08-12-2017,Customer_488,West,California,Los Angeles,Office Supplies,Paper,775.39,1,282.83
CA-2016-100165,19-01-2019,Customer_109,East,California,Miami,Technology,Phones,700.4,1,279.79
CA-2017-100166,04-09-2015,Customer_277,East,California,Los Angeles,Technology,Phones,836.45,9,-26.24
CA-2018-100167,07-07-2017,Customer_98,East,New York,Chicago,Technology,Phones,637.77,6,234.03
CA-2015-100168,30-10-2017,Customer_13,West,Illinois,Chicago,Technology,Copiers,693.05,8,125.29
CA-2016-100169,30-07-2017,Customer_309,West,New York,Houston,Technology,Phones,802.52,5,26.92
CA-2017-100170,13-12-2016,Customer_300,Central,Texas,New York City,Technology,Accessories,248.25,10,46.74
CA-2018-100171,13-12-2016,Customer_440,Central,Illinois,Houston,Furniture,Chairs,980.8,7,145.32
CA-2015-100172,07-12-2017,Customer_228,West,New York,Chicago,Technology,Phones,474.87,6,146.17
CA-2016-100173,28-07-2017,Customer_213,South,Florida,Los Angeles,Furniture,Bookcases,886.87,4,175.16
CA-2017-100174,22-02-2015,Customer_38,West,Florida,Miami,Office Supplies,Storage,112.99,8,48.71
CA-2018-100175,13-09-2016,Customer_187,Central,Texas,Chicago,Office Supplies,Binders,966.43,10,-40.28
CA-2015-100176,08-11-2017,Customer_483,South,Illinois,New York City,Technology,Copiers,835.71,2,153.17
CA-2016-100177,14-07-2018,Customer_443,West,Florida,New York City,Office Supplies,Binders,246.57,10,-99.17
CA-2017-100178,08-04-2018,Customer_208,East,California,New York City,Office Supplies,Paper,269.26,7,-96.55
CA-2018-100179,01-12-2018,Customer_124,Central,California,New York City,Technology,Accessories,533.47,9,-29.47
CA-2015-100180,07-04-2015,Customer_305,West,Texas,Miami,Technology,Accessories,229.47,2,179.95
CA-2016-100181,09-12-2017,Customer_265,East,Illinois,Miami,Technology,Copiers,954.44,2,0.7
CA-2017-100182,01-03-2018,Customer_328,West,Illinois,New York City,Technology,Copiers,440.17,7,163.98
CA-2018-100183,15-04-2016,Customer_464,Central,Texas,Los Angeles,Technology,Phones,978.91,8,8.34
CA-2015-100184,27-07-2017,Customer_266,South,Florida,Houston,Technology,Phones,977.28,8,-28.56
CA-2016-100185,29-06-2015,Customer_306,South,Texas,Chicago,Office Supplies,Storage,626.83,7,178.27
CA-2017-100186,31-07-2018,Customer_134,Central,Florida,Chicago,Furniture,Tables,212.78,8,-81.09
CA-2018-100187,20-01-2015,Customer_20,South,New York,Chicago,Furniture,Bookcases,101.91,8,115.39
CA-2015-100188,24-01-2017,Customer_401,East,California,Houston,Office Supplies,Paper,712.34,4,158.56
CA-2016-100189,24-09-2015,Customer_34,East,Illinois,Houston,Furniture,Tables,286.86,4,-62.21
CA-2017-100190,21-09-2015,Customer_310,West,Florida,New York City,Office Supplies,Paper,713.48,1,-10.5
CA-2018-100191,03-08-2017,Customer_383,East,Florida,Miami,Furniture,Tables,676.2,2,247.56
CA-2015-100192,20-05-2015,Customer_372,South,Florida,Miami,Technology,Copiers,467.79,9,-93.35
CA-2016-100193,13-07-2018,Customer_60,East,New York,Chicago,Technology,Copiers,518.48,2,269.16
CA-2017-100194,05-04-2017,Customer_119,South,Texas,Miami,Technology,Copiers,998.73,10,253.83
CA-2018-100195,15-06-2018,Customer_278,South,California,Los Angeles,Office Supplies,Storage,445.17,8,286.69
CA-2015-100196,12-04-2018,Customer_268,Central,Texas,New York City,Office Supplies,Storage,143.37,5,186.39
CA-2016-100197,03-12-2016,Customer_363,Central,Florida,Miami,Furniture,Chairs,845.31,10,52.7
CA-2017-100198,03-04-2017,Customer_211,South,Texas,Houston,Furniture,Chairs,157.35,4,-20.46
CA-2018-100199,18-06-2015,Customer_42,Central,California,Los Angeles,Office Supplies,Binders,281.32,5,-11.22
CA-2015-100200,15-03-2016,Customer_286,Central,Illinois,Los Angeles,Technology,Accessories,994.58,8,138.02
CA-2016-100201,09-10-2016,Customer_261,Central,Florida,New York City,Furniture,Tables,131.96,9,297.25
CA-2017-100202,17-04-2017,Customer_94,Central,Texas,Los Angeles,Office Supplies,Storage,58.84,10,-13.55
CA-2018-100203,05-02-2016,Customer_95,East,Texas,New York City,Office Supplies,Paper,293.69,6,-99.66
CA-2015-100204,28-08-2015,Customer_88,West,Florida,Miami,Furniture,Chairs,360.4,1,221.17
CA-2016-100205,14-03-2015,Customer_292,West,Florida,New York City,Office Supplies,Paper,253.89,5,232.44
CA-2017-100206,31-05-2017,Customer_136,East,Illinois,New York City,Office Supplies,Paper,85.07,7,263.25
CA-2018-100207,10-08-2016,Customer_127,Central,Florida,Los Angeles,Office Supplies,Binders,66.21,3,88.35
CA-2015-100208,04-04-2018,Customer_110,West,Florida,New York City,Furniture,Tables,91.12,4,72.91
CA-2016-100209,12-05-2016,Customer_246,Central,Texas,Los Angeles,Technology,Accessories,732.54,7,104.48
CA-2017-100210,09-12-2016,Customer_419,East,California,Miami,Office Supplies,Binders,460.38,5,87.92
CA-2018-100211,13-07-2018,Customer_232,West,California,Chicago,Furniture,Chairs,362.66,2,-70.18
CA-2015-100212,20-12-2018,Customer_288,East,New York,Los Angeles,Technology,Phones,68.18,4,235.57
CA-2016-100213,28-06-2018,Customer_298,East,New York,Los Angeles,Technology,Copiers,161.79,9,298.12
CA-2017-100214,17-03-2016,Customer_80,West,Illinois,Miami,Office Supplies,Paper,167.66,1,5.63
CA-2018-100215,17-11-2017,Customer_102,South,Florida,Los Angeles,Furniture,Chairs,756.6,7,89.5
CA-2015-100216,12-10-2017,Customer_420,East,Illinois,New York City,Technology,Phones,927.66,3,-94.05
CA-2016-100217,17-04-2015,Customer_69,East,Illinois,Los Angeles,Furniture,Chairs,219.01,10,193.2
CA-2017-100218,11-11-2015,Customer_156,West,Florida,Miami,Office Supplies,Storage,108.44,8,203.31
CA-2018-100219,07-10-2015,Customer_288,East,Illinois,Los Angeles,Office Supplies,Binders,73.33,5,180.31
CA-2015-100220,24-02-2016,Customer_179,West,Illinois,Chicago,Office Supplies,Storage,537.29,8,189.21
CA-2016-100221,27-05-2016,Customer_353,East,Florida,New York City,Office Supplies,Binders,436.7,8,-57.86
CA-2017-100222,03-08-2017,Customer_250,South,New York,Chicago,Office Supplies,Paper,882.32,2,169.74
CA-2018-100223,19-06-2015,Customer_217,East,New York,New York City,Technology,Phones,158.31,1,251.92
CA-2015-100224,15-08-2017,Customer_303,South,Texas,Chicago,Office Supplies,Paper,319.92,2,165.73
CA-2016-100225,31-03-2017,Customer_5,South,Illinois,Los Angeles,Office Supplies,Paper,729.71,10,21.97
CA-2017-100226,17-09-2018,Customer_388,East,New York,Miami,Office Supplies,Storage,977.42,8,-82.3
CA-2018-100227,27-04-2015,Customer_204,East,New York,Houston,Furniture,Bookcases,26.31,5,294.2
CA-2015-100228,15-06-2018,Customer_486,East,New York,Chicago,Technology,Phones,62.4,10,156.59
CA-2016-100229,07-04-2017,Customer_247,Central,New York,Miami,Furniture,Chairs,109.92,1,-79.04
CA-2017-100230,19-02-2018,Customer_85,South,New York,Houston,Office Supplies,Storage,996.02,1,231.3
CA-2018-100231,16-10-2017,Customer_161,South,New York,New York City,Office Supplies,Paper,566.89,8,89.33
CA-2015-100232,16-10-2017,Customer_323,Central,Illinois,Los Angeles,Technology,Copiers,300.69,1,231.37
CA-2016-100233,26-03-2018,Customer_452,South,Florida,Chicago,Office Supplies,Binders,665.05,3,-39.53
CA-2017-100234,13-01-2015,Customer_488,Central,Florida,New York City,Technology,Phones,784.57,5,19.71
CA-2018-100235,22-10-2016,Customer_500,East,New York,Miami,Furniture,Tables,47.74,4,212.32
CA-2015-100236,06-02-2017,Customer_463,West,Illinois,New York City,Furniture,Bookcases,25.34,9,94.48
CA-2016-100237,12-04-2016,Customer_349,Central,California,Chicago,Technology,Accessories,660.57,2,1.5
CA-2017-100238,11-03-2017,Customer_164,East,California,Chicago,Furniture,Tables,452.62,7,51.82
CA-2018-100239,15-12-2018,Customer_272,Central,Florida,Miami,Technology,Accessories,230.42,2,254.24
CA-2015-100240,09-08-2016,Customer_440,East,California,Los Angeles,Office Supplies,Paper,600.81,7,190.9
CA-2016-100241,04-06-2018,Customer_69,West,Texas,Miami,Furniture,Chairs,647.43,10,130.68
CA-2017-100242,10-06-2015,Customer_13,Central,Florida,Los Angeles,Office Supplies,Binders,662.5,2,-71.64
CA-2018-100243,19-01-2016,Customer_264,East,Illinois,Miami,Technology,Copiers,835.56,9,276.58
CA-2015-100244,23-04-2018,Customer_301,East,Texas,New York City,Furniture,Bookcases,686.96,3,225.11
CA-2016-100245,23-02-2018,Customer_450,East,Florida,Chicago,Furniture,Bookcases,246.18,7,237.1
CA-2017-100246,05-10-2015,Customer_312,South,New York,Miami,Furniture,Chairs,362.15,1,227.56
CA-2018-100247,12-02-2017,Customer_139,East,Illinois,Miami,Furniture,Chairs,71.4,3,-29.27
CA-2015-100248,06-07-2017,Customer_132,West,New York,Los Angeles,Technology,Phones,167.87,6,22.98
CA-2016-100249,21-05-2016,Customer_220,Central,Illinois,Los Angeles,Furniture,Tables,943.47,1,265.0
CA-2017-100250,30-03-2015,Customer_130,East,New York,Los Angeles,Office Supplies,Paper,858.39,4,-67.96
CA-2018-100251,16-02-2018,Customer_109,West,Texas,Los Angeles,Furniture,Bookcases,883.98,10,76.39
CA-2015-100252,18-06-2015,Customer_388,Central,Florida,Los Angeles,Technology,Copiers,778.33,3,90.55
CA-2016-100253,14-01-2015,Customer_36,East,New York,Chicago,Furniture,Chairs,141.75,6,20.1
CA-2017-100254,24-11-2015,Customer_422,West,Texas,Miami,Furniture,Chairs,441.85,2,93.68
CA-2018-100255,05-07-2018,Customer_236,West,New York,Los Angeles,Technology,Phones,846.73,9,105.8
CA-2015-100256,05-11-2018,Customer_411,Central,Florida,Houston,Office Supplies,Binders,367.97,8,19.1
CA-2016-100257,04-04-2017,Customer_236,West,California,Houston,Furniture,Chairs,24.98,6,236.08
CA-2017-100258,08-03-2018,Customer_202,Central,Illinois,Chicago,Technology,Copiers,827.48,6,-96.27
CA-2018-100259,24-04-2015,Customer_271,South,New York,Chicago,Technology,Accessories,476.53,5,213.25
CA-2015-100260,22-03-2018,Customer_97,South,Florida,Houston,Furniture,Bookcases,525.9,5,144.01
CA-2016-100261,07-10-2018,Customer_178,South,Illinois,New York City,Office Supplies,Binders,961.58,7,-9.21
